"Thai","Vietnamese","POS_Tags_Thai"
"ꪹꪥꪸꪒ ꪵꪙꪫ ꪙ꫁ꪽ ꪮꪱ","làm như thế à","cxđ. cxđ. đ."
"ꪫ꪿ꪱ ꪵꪕ꫁ ꪮꪱ","nói thật ư","cxđ. đ."
"ꪙ꫁ꪮꪉ ꪮ꪿ꪱ","em ơi","d. c."
"ꪹꪥꪸꪒ ꪵꪙꪫ ꪙ꫁ꪽ ꪮ꪿ꪱ","làm như thế hả","cxđ. cxđ. c."
"ꪙꪰ꪿ꪉ ꪮ꪿ꪱ ꪈ꫁ꪱ","ngồi chễm chệ","cxđ. c. UNK"
"ꪮ꫁ꪱ ꪶꪎꪚ ꪮ꫁ꪱ ꪜꪱꪀ","há mồm há miệng","đg. đg."
"ꪮ꫁ꪱ ꪶꪎꪚ ꪁ꫁ꪱꪥ","ngoạc miệng ra mà cãi","đg. d."
"ꪩꪷ꫁ ꪜꪱꪀ ꪮ꫁ꪱ","lọ miệng loe","cxđ. đg. đg."
"ꪹꪮꪷ꪿ꪀ ꪮ꫁ꪱ","ngực nở","đg. đg."
"ꪮ꫁ꪱ ꪠ꪿ꪱ ꪣꪳ","xoè bàn tay","đg. cxđ."
"ꪶꪔ ꪢꪱ ꪶꪎꪚ ꪮ꫁ꪱ ꪶꪊꪜꪉ","con chó miệng ngoam ngoáp","t. d. đg. đg."
"ꪮꪱ ꪼꪏ ꪄꪾꪚ ꪣ꪿ꪺꪙ","cô giáo hát hay","d. đg. cxđ."
"ꪙꪰ꪿ꪉ ꪮ꪿ꪱ ꪈ꪿ꪱ","ngồi chễm chệ","cxđ. d."
"ꪙꪰ꪿ꪉ ꪮ꫁ꪱ ꪄꪱ","ngồi chài bài","cxđ. đg."
"ꪮ꫁ꪱ ꪵꪘ꫁ꪉ ꪹꪥꪸꪒ ꪵꪜ꪿","cố tình làm hỏng","đg. cxđ. t."
"ꪹꪘ꪿ꪥ ꪨꪱꪥ ꪙꪰ꪿ꪉ ꪮ꫁ꪱ ꪉꪱꪚ","mệt quá ngồi ngáp","cxđ. cxđ. cxđ. đg."
"ꪜꪱ ꪮ꫁ꪱ ꪉꪱꪚ","cá ngoáp","đg. đg."
"ꪙꪰ꪿ꪉ ꪮ꫁ꪱ ꪉꪱꪚ","ngồi chè hẻ","cxđ. đg."
"ꪵꪩ꪿ꪙ ꪡ꪿ꪮꪉ ꪮ꫁ꪱ ꪉꪱꪚ ꪜꪱ","chạy bở hơi tai","cxđ. cxđ. đg."
"ꪮ꫁ꪱ ꪜꪱꪀ ꪮꪮꪀ","há miệng ra","đg. đg."
"ꪮ꫁ꪱ ꪮꪴ꪿ꪥ! ꪋ꪿ꪽ ꪹꪭꪸ꪿ꪉ!","úi chà! Đẹp quá!","đg. UNK t. UNK"
"ꪮ꫁ꪱ ꪶꪎꪚ ꪨꪷ꫁ ꪼꪐ","mở miệng  là gắt","đg. cxđ. cxđ."
"ꪮ꫁ꪱ ꪶꪎꪚ ꪶꪊꪜ꪿ꪉ","há hốc mồm","đg. UNK"
"ꪹꪯꪸꪣ ꪯ꪿ꪱ!","mẹ à!","d. UNK"
"ꪶꪙ꫁ꪀ ꪯ꪿ꪱ ꪥꪱꪒ ꪶꪩꪉ","chim sà xuống","cxđ. đg. cxđ."
"ꪵꪎ ꪚꪲꪙ ꪯ꪿ꪱ ꪥꪱꪒ ꪶꪩꪉ","máy bay đáp xuống","d. đg. cxđ."
"ꪹꪥꪸꪒ ꪮ꪿ꪱꪀ ꪼꪒ꫁ ꪮ꪿ꪱꪀ","làm ác được ác","cxđ. t. t. t."
"ꪮ꪿ꪱꪙ ꪶꪕ꫁ꪥ ꪵꪠꪙ ꪮ꪿ꪱꪀ ꪊꪱꪙ","kể tội bọn gian ác","đg. cxđ. t."
"ꪋꪰꪉ ꪘ꫁ꪱ ꪠꪴ꫁ ꪮ꪿ꪱꪀ ꪻꪊ","ghét mặt kẻ ác tâm","cxđ. đg. cxđ. t."
"ꪹꪎꪷ꪿ꪀ ꪹꪥꪸꪒ ꪮ꪿ꪱꪀ ꪋ꪿ꪺ ꪻꪬ꫁ ꪹꪤꪸꪙ","giặc làm khốc hại cho dân","cxđ. cxđ. t. cxđ. d."
"ꪹꪎꪷ꪿ꪀ ꪮ꪿ꪱꪀ ꪭ꫁ꪱꪥ","giặc tàn ác","cxđ. t."
"ꪢꪴ ꪭ꫁ꪮꪉ ꪵꪮ꪿ꪀ ꫟","lợn kêu eng éc","d. đg. đg."
"ꪬꪱꪚ ꪘꪰꪀ ꪼꪜ ꪵꪯ꫁ꪀ ꫟","gánh nặng đi lặc lè","d. d. t. cxđ. t."
"ꪮꪱꪥ ꪙꪾ꫁ ꪚꪮꪀ","mùi nước hoa","d. cxđ."
"ꪮꪱꪥ ꪘꪴ ꪋꪴ","hôi chuột chù","d. cxđ."
"ꪮꪱꪥ ꪙꪾ꫁ ꪜꪴ꪿ꪀ ꪄꪳ꫁ꪙ","hơi nước bốc lên","d. đg. đg. cxđ."
"ꪼꪎ꪿ ꪢꪲꪙ ꪮꪱꪥ ꪭ꫁ꪱꪥ","trứng thối nặng mùi","cxđ. t. d."
"ꪹꪭꪙ ꪻꪐ꪿ ꪮꪱꪥ ꪅꪱꪥ","nhà lớn nguy nga","d. đg. t."
"ꪮꪱꪥ ꪶꪩꪣ ꪀꪺꪉ ꪢꪱꪀ ꪚ꪿ꪮꪉ","không khí trong quả bóng","d. d. cxđ. đg."
"ꪎ꫁ꪺꪉ ꪹꪎ꫁ ꪮꪱꪥ ꪹꪐꪉ","quần áo hôi hám","cxđ. t."
"ꪖ꫁ꪺꪥ ꪹꪄ꫁ꪱ ꫜ ꪮꪱꪥ ꪹꪮꪷ꫁ ꪎꪰꪉ","một bát cơm thấm tháp gì","d. đg. đg. t. p."
"ꪬꪱ ꪻꪊ ꪹꪮꪱ ꪮꪱꪥ ꪡ꫁ꪱ","hít thở khí trời","cxđ. đg. d."
"ꪜꪱ ꪹꪁꪸꪣ ꪮꪱꪥ ꪡꪳ꫁ꪙ","cá mắm sực mùi","cxđ. đg."
"ꪢꪷ꫁ ꪙꪾ꫁ ꪮꪱꪥ ꪜꪴ꪿ꪀ","nồi nước bốc hơi","d. đg. đg."
"ꪮ꫁ꪱꪥ ꪮꪮꪀ ꪹꪯꪸꪣ ꪎꪲꪉ","cha sinh mẹ đẻ","d. d. cxđ."
"ꪮ꫁ꪱꪥ ꪀꪾꪚ ꪙ꫁ꪮꪉ","anh với em","d. d. d."
"ꪮ꫁ꪱꪥ ꪙ꫁ꪽ ꪣꪰꪀ ꪵꪚ꫁ꪫ ꪹꪩ","gã ấy hay lừa dối","d. d. cxđ. đg."
"ꪮ꫁ꪱꪥ ꪮꪱꪫ ꪹꪯꪸꪣ ꪩꪺ","ông chú bà thím","đ. cxđ."
"ꪮ꫁ꪱꪥ ꪩꪴꪉ ꪹꪯꪸꪣ ꪜ꫁ꪱ","bác trai và bác gái","d. cxđ."
"ꪮ꫁ꪱꪥ ꪙ꫁ꪮꪉ ꪵꪜꪀ ꪄꪰ꫁ꪉ ꪘꪸꪉ","anh em như cái bướu, anh em như thể tay chân","d. p. d. cxđ."
"ꪮ꫁ꪱꪥ ꪮꪮꪀ ꪹꪚ꪿ꪱ ꪕꪷ꪿ ꪹꪯꪸꪣ ꪩꪸ꫁ꪉ","bố đẻ không bằng mẹ nuôi","d. p. k. cxđ."
"ꪔ꫁ꪮꪙ ꪏꪴꪣ ꪯꪱꪥ ꪶꪛ꫁ ꪶꪓ꫁ꪥ","đón các anh bộ đội","cxđ. cxđ. d. d."
"ꪮꪱꪣ ꪹꪄ꫁ꪱ","thổi cơm","đg. đg."
"ꪉꪺ ꪭ꫁ꪮꪉ ꪮꪱꪣ ꪶꪛ꪿","bò kêu um ma","cxđ. đg. d."
"ꪄꪽ ꪶꪜ꪿ꪀ ꪬꪺ ꪯꪱꪣ ꪗ꪿ꪱꪣ","khăn đội đầu tủm hụp","d. cxđ. d. t."
"ꪬꪱꪉ ꪹꪎ꫁ ꪯꪱꪣ ꪗ꪿ꪱꪣ","đuôi áo loè xoè","d. d. t."
"ꪮꪱꪙ ꪣ꫁ꪱ","yên ngựa","d. d."
"ꪝꪾꪚ ꪎꪳ ꪮ꪿ꪱꪙ ꪀꪮꪉ","sách vở hàng đống","cxđ. p. t."
"ꪼꪜ ꪮ꪿ꪱꪙ ꪭ꫁ꪮꪥ ꫛ","đi những trăm người","cxđ. p. cxđ. d."
"ꫛ ꪮ꪿ꪱꪙ ꪨꪱꪥ","người nhiều vô kể","d. p. cxđ."
"ꪮ꪿ꪱꪙ ꪣꪳ꫁ ꪮ꪿ꪱꪙ ꪁꪳꪙ","cả ngày cả đêm","p. đg. p. d."
"ꪮ꪿ꪱꪙ ꪜꪲ ꫜ","một năm ròng","p. d. đg."
"ꪮ꪿ꪱꪙ ꪎꪳ","đọc thư","p. đg."
"ꪝꪴ ꪹꪚꪸ꫁ ꪮ꪿ꪱꪙ ꪈꪽ","núi sông cách trở","cxđ. d. đg."
"ꪮ꪿ꪱꪙ ꪶꪕ꫁ꪥ ꪵꪠꪙ ꪹꪀꪚ","kể tội bọn cướp","đg. cxđ. đg."
"ꪜꪱꪀ ꪮ꫁ꪱꪉ","nói khoe","đg. đg."
"ꪮꪱ ꪙꪱꪉ ꪮ꫁ꪱꪉ ꪈꪲꪒ","cô nàng kiêu kì","đ. d. đg."
"ꪜꪱꪀ ꪹꪫ꫁ꪱ ꪮ꫁ꪱꪉ ꪻꪐ꪿","ăn nói phô trương","đg. UNK đg."
"ꪵꪮ꪿ꪉ ꪵꪮ꫁ ꪼꪜ ꪮꪲ꫁ꪙ","nhởn nhơ đi chơi","đg. cxđ. cxđ. đg."
"ꪎꪮꪉ ꪮꪱꪫ ꪨꪱꪙ","hai chú cháu","đg. đ. cxđ."
"ꪮꪱꪫ ꪨ꫁ꪱ ꪮꪱꪫ ꪩꪴꪙ","chú út chú ít","d. đ. cxđ."
"ꪮꪱꪚ ꪙꪾ꫁ ꪕ꪿ꪱ","tắm nước lã","đg. cxđ."
"ꪮꪱꪚ ꪬꪺ","gọi đầu","đg. d."
"ꪮꪱꪚ ꪙꪾ꫁ ꪁꪾ","mạ vàng","đg. đg. d."
"ꪬꪱꪚ ꪮ꪿ꪱꪚ ꪘꪰꪀ","gánh hơi nặng","d. UNK d. t."
"ꪮ꪿ꪱꪫ ꪹꪁꪸꪣ","khí mặn","đg. t."
"ꪑꪱ ꪡꪰꪉ ꪠꪴ꫁ ꪮ꫁ꪱꪫ ꪻꪐ꪿","đừng nghe kẻ khoác lác","d. t. cxđ. đg."
"ꪎꪸꪉ ꪯꪱꪫ ꫟ ꪀꪺꪉ ꪹꪭꪙ","tiếng ồn trong nhà","cxđ. t. d. d."
"ꪯꪱꪫ ꪹꪯꪸꪫ ꪘꪰ꫁ꪉ ꪕꪱꪉ","huyên náo ngoài đường","t. cxđ. cxđ."
"ꪯ꪿ꪱꪫ ꪢꪱ ꪣꪱ ꪶꪄꪚ","suỵt, chó cắn lợn","c. d. đg. d."
"ꪹꪩꪷꪉ ꪮꪱꪫ ꪎ꪿ꪺꪥ","năng tắm rửa","cxđ. đ. đg."
"ꪯꪱꪚ ꪹꪤꪸꪙ ꪼꪝ","đè nén nhân dân","đg. d. cxđ."
"ꪨꪱꪥ ꪹꪉꪷꪙ ꪯꪱꪚ ꪢ꫁ꪱ ꪹꪮꪱ","lắm tiền chơi trội","cxđ. đg. đg. đg."
"ꪹꪮꪱ ꪨꪺ","lấy củi","đg. cxđ."
"ꪹꪮꪱ ꪀꪴꪚ ꪼꪜ ꪕ꪿ꪮꪥ","đem nón đi theo","đg. d. cxđ."
"ꪹꪮꪱ ꪚꪴꪒ ꪻꪎ꪿ ꪶꪖꪉ","cho bút vào túi","đg. d. cxđ. t."
"ꪹꪮꪱ ꪣꪲꪒ ꪔꪰꪒ","lấy dao chặt","đg. cxđ. cxđ."
"ꪹꪮꪱ ꪻꪊ ꪝꪲ꪿ ꪙ꫁ꪮꪉ","tùy ý anh em","đg. cxđ."
"ꪫ꪿ꪱ ꪼꪫ꫁ ꪹꪮꪱ ꪻꪊ ꪀꪽ","nói để lấy lòng nhau","t. cxđ. đg. d."
"ꪹꪮꪱ ꪘ꫁ꪱ ꪻꪬ꫁ ꪹꪯꪸꪣ","giữ tiếng cho mẹ","đg. cxđ. d."
"ꪢꪴ ꪹꪮꪱ ꪠꪮꪀ","lợn chịu đực","d. đg."
"ꪼꪀ꪿ ꪹꪮꪱ ꪝꪷ꪿","gà chịu trống","d. đg."
"ꪵꪩ꪿ꪙ ꪹꪮꪱ ꪔꪱꪥ","chạy bạt mạng","cxđ. t."
"ꪁꪫꪱꪥ ꪹꪮꪱ ꪹꪖꪷ꪿ꪀ","trâu chịu đực","d. đg."
"ꪹꪮ꪿ꪱ ꪀꪴ ꪫ꪿ꪱ ꪙꪱ","đấy, tôi đã bảo mà!","tr. đ. t. d."
"ꪡ꫁ꪱ ꪭ꫁ꪮꪙ ꪹꪮ꫁ꪱ","trời nóng bức","d. d. t."
"ꪮꪱꪥ ꪡ꫁ꪱ ꪹꪮ꫁ꪱ ꪹꪈꪱ","không khí khó chịu","d. t."
"ꪡ꫁ꪱ ꪹꪮ꫁ꪱ ꪮꪳꪒ","trời oi bức","d. t."
"ꪜꪴꪣ ꪻꪯ ꫟ ꪤꪴ꪿","bụng đầy hơi.","cxđ. t. p."
"ꪀꪲꪙ ꪤꪱ ꪼꪮ","uống thuốc ho","d. cxđ. đg."
"ꪙꪱ ꪼꪮ꫁ ꪙꪾ꫁","ruộng oi nước","d. đg."
"ꪮꪰꪀ ꪮ꪿ꪮꪥ ꪹꪒꪸ꪿ꪀ ꪙ꫁ꪮꪥ","cám dỗ trẻ con","đg. cxđ."
"ꪹꪜꪸꪙ ꪯꪰꪀ ꪙꪰꪀ ꪘꪰ꫁ꪉ ꪀꪺꪉ ꪻꪊ","thấy xốn xang trong lòng","t. t. cxđ. d. t."
"ꪙꪰ꪿ꪉ ꪮꪾꪾꪾ꪿ ꪼꪠ꪿","ngồi lặng thinh","cxđ. UNK đg."
"ꪒꪲꪙ ꪮꪾ꫁","đất ẩm, đất ớm","d. t."
"ꪊꪰꪀ ꪊ꪿ꪽ ꪭ꫁ꪮꪉ ꪮꪾ꫁ ꪮꪲ꪿ꪉ","ve sầu kêu giéo giắt","cxđ. cxđ. đg. đg."
"ꪀꪺꪉ ꪜ꪿ꪱ ꪮꪾ꫁ ꪈꪾ","trong rừng ẩm thấp","d. d. t."
"ꪙꪰ꪿ꪉ ꪮꪾ꫁ ꪜꪱꪀ ꪤꪴ꪿","ngồi trơ khấc","cxđ. t. p."
"ꪎꪮꪉ ꪎꪱꪣ ꪮꪽ","vài ba cái","đg. cxđ. d."
"ꪹꪬꪸꪙ ꪮꪽ ꪒꪲ ꪼꪒ꫁ ꪵꪮꪚ","thấy điều hay phải học","đg. d. d. t. cxđ."
"ꪵꪣꪉ ꪁꪾ꪿ ꪮ꪿ꪽ","ve kêu","cxđ. đg."
"ꪣꪲ ꪮ꪿ꪽ ꪬ꫁ꪱ ꫛ","có tận 5 người","đg. đg. cxđ. d."
"ꪀꪮꪉ ꪹꪄ꫁ꪱ ꪎꪸꪚ ꪹꪜꪸꪙ ꪮ꫁ꪽ","đống thóc xếp thành ô","t. đg. t. t. d."
"ꪠꪴ꫁ ꪙ꫁ꪽ","người ấy","cxđ. d."
"ꪝꪾꪚ ꪎꪳ ꪯ꫁ꪽ ꪹꪩꪸ","quyển sách kia kìa","cxđ. đ."
"ꪮꪾꪚ ꪬꪱ ꪻꪊ ꪠꪳꪒ","bí hơi khó thở","đg. cxđ."
"ꪡ꫁ꪱ ꪮꪾꪚ ꪮꪳ꪿ꪉ ꪊꪲ꪿ ꪨꪷ ꪶꪠꪙ","trời âm u sắp mưa","d. đg. cxđ. cxđ. cxđ."
"ꪮꪾꪚ ꪯꪳ꫁ꪉ ꪹꪚ꪿ꪱ ꪵꪮ꪿ ꪼꪜ","ngần ngừ không muốn đi","t. p. cxđ. cxđ."
"ꪕꪱꪉ ꪮꪰꪒ ꪵꪮ꫁ꪫ","đường ngoắt ngoéo","cxđ. t."
"ꪚꪱ ꪼꪕ ꪹꪒꪷꪙ ꪜ꪿ꪮꪉ","ta đã đi tới","đ. cxđ. cxđ."
"ꪚꪱ ꪼꪕ ꪁꪳꪙ ꪁꪮꪚ","người đã trở lại","đ. đg."
"ꪚ꪿ꪱ ꪒ꫁ꪱꪙ ꪔꪲꪙ ꪹꪝ꫁ꪱ","vai u thịt bắp","d. d. đg. UNK"
"ꪚꪰ꫁ꪉ ꪙꪾ꫁ ꪚ꪿ꪱ","ống nước đổ","d. đg. d."
"ꪬꪲ꫁ꪫ ꪘꪰꪀ ꪚ꪿ꪱ ꪹꪨ꪿ꪥ","xách nặng sã cánh","cxđ. d. t. đg."
"ꪏꪲ ꪚ꪿ꪱ ꪐꪴ꫁ꪉ","thời loạn lạc","t. đg."
"ꪚ꫁ꪱꪙ ꪹꪣꪉ ꪚ꪿ꪱ ꪎꪸꪫ","bản mường tan hoang","d. đg."
"ꪀꪷ ꪚ꫁ꪱ","cây đa","d. d."
"ꪚ꫁ꪱ ꪙ꫁ꪮꪥ ꪚꪮꪀ ꪡꪰꪉ","thằng bé ngoan","d. d. t."
"ꪹꪚ꪿ꪱ ꪼꪒ꫁ ꪹꪙꪸꪀ ꪚ꫁ꪱ ꪹꪯꪷꪥ","không được đâu ông ơi","p. t. cxđ. d. cxđ."
"ꫛ ꪹꪜꪸꪙ ꪚ꫁ꪱ","người bị điên","d. t. d."
"ꪹꪒꪸ꪿ꪀ ꪙ꫁ꪮꪥ ꪣꪰꪀ ꪙꪮꪙ ꪚ꫁ꪱ","trẻ con ngủ hay giãy","cxđ. cxđ. cxđ. d."
"ꪵꪚ꪿ꪙ ꪚ꫁ꪱ ꪭꪱꪒ","bắn bị thương","đg. đg."
"ꪼꪀ꪿ ꪊꪾꪚ ꪜꪳꪙ ꪚ꫁ꪱ ꪭꪱꪒ","gà trúng tên ngoắc ngoải","d. cxđ. cxđ. đg."
"ꪹꪣꪱ ꪹꪨ꫁ꪱ ꪑ꪿ꪱꪉ ꪚ꫁ꪱ ꪩꪱꪣ ꪼꪜ","say rượu đi lảo đảo","cxđ. t. cxđ. đg. cxđ."
"ꪚ꫁ꪱ ꪨꪴ꫁ ꪚ꫁ꪱ ꪩꪱꪣ","thất tha thất thểu","d. UNK đg."
"ꪚ꫁ꪱ ꪩꪱꪣ ꪼꪜ ꪎ꪿ꪱꪫ ꪩꪴꪀ","tất tả đi tìm con","đg. cxđ. cxđ. cxđ."
"ꪹꪎ ꪊꪾꪚ ꪓ꫁ꪱꪙ ꪚ꫁ꪱ ꪹꪩꪒ","hổ trúng đạn hung dữ","cxđ. cxđ. d. t."
"ꪹꪭꪱ ꪹꪯꪸꪣ ꪛꪱ","hầu bà lớn","đg. cxđ."
"ꪵꪚ꪿ꪀ ꪹꪭꪙ ꪡꪸ","tuần đinh nhà phìa","d. d. cxđ."
"ꪚꪱꪥ ꪔꪲꪙ ꪢꪴ","túm chân lợn","đg. d."
"ꪚꪱꪥ ꪼꪭ꪿","rẫy cỏ nương","đg. cxđ."
"ꪙꪱꪉ ꪚ꪿ꪱꪥ ꪘ꫁ꪱ ꪑ꪿ꪱꪉ ꪑ꫁ꪱꪥ","nàng ngoảnh mặt bước đi","d. đg. cxđ."
"ꪚ꫁ꪱꪥ ꪹꪭ","chèo thuyền","đg. cxđ."
"ꪬꪺ ꪛꪱꪥ","đầu bài","d. d."
"ꪛ꫁ꪱꪣ ꪝꪴ","hõm núi","d. cxđ."
"ꪄꪰ꫁ꪉ ꪚꪱꪙ","cái bừa","d. d."
"*ꪼꪖ ꪼꪭ꪿ ꪚꪱꪙ ꪙꪱ","cày bừa ruộng nương","VN cxđ. d. d."
"ꪚꪱꪙ ꪚꪮꪀ ꪭꪸꪙ ꪎꪳ","bảo ban học hành","đg. cxđ."
"ꪼꪒ꫁ ꪎꪳꪉ ꪚꪱꪙ ꪬꪴ ꪶꪑ꫁ꪀ ꪄꪳ꫁ꪙ","được khen vểnh râu lên","t. cxđ. đg. cxđ."
"ꪚꪱꪙ ꪁꪫꪱꪣ ꪨꪮꪣ ꪮ꪿ꪮꪙ","ngỏ lời cùng em","đg. cxđ. t."
"ꪶꪁꪣ ꪣꪲꪒ ꪚ꪿ꪱꪙ","lưỡi dao mẻ","t. cxđ. đg."
"ꪚ꫁ꪱꪙ ꪻꪐ꪿ ꪹꪣꪉ ꪨꪺꪉ","bản to mường lớn","d. đg. d. d."
"ꪚ꫁ꪱꪙ ꪙꪱ ꪻꪢ꪿","nông thôn mới","d. d."
"ꪛꪱꪙ ꪫꪸꪀ ꪹꪣꪉ","bàn việc nước","đg. d. d."
"ꪼꪜ ꪤꪱꪣ ꪛ꫁ꪱꪙ","đi thăm bạn","cxđ. cxđ. d."
"ꪛ꫁ꪱꪙ ꪭ꫁ꪮꪀ ꪵꪔ꪿ ꪙ꫁ꪮꪥ","bạn học từ nhỏ","d. cxđ. d."
"ꪊꪸ꫁ ꪚꪱꪉ","giấy mỏng","cxđ. t."
"ꫛ ꪚꪱꪉ","mảnh người","d. t."
"ꪶꪔ ꪜ꪿ꪱ ꪚꪱꪉ ꪼꪜ","thú rừng vợi đi","cxđ. t. cxđ."
"ꪹꪎ꫁ ꪚꪱꪉ ꪵꪤꪉ ꪵꪥ","áo mỏng tanh","d. t."
"ꪚꪸ꪿ ꪊꪸ꫁ ꪚꪱꪉ ꪪꪸ","tờ giấy mỏng manh","d. cxđ. t."
"ꫛ ꪚꪱꪉ ꪎꪰꪮꪱꪒ ꪼꪜ","người vãn hẳn đi.","d. đg. cxđ."
"ꪢꪴ ꪚ꪿ꪱꪉ","lợn lang","d. d."
"ꪵꪔ꫁ꪣ ꪚ꫁ꪱꪉ","viết bảng","đg. d."
"ꪜ꪿ꪱ ꪝꪴ ꪵꪚꪉ ꪵꪚ꪿ꪫ","rừng núi quạnh quẽ","cxđ. t."
"ꪵꪚ꪿ꪉ ꪵꪀ꫁ꪫ","bánh kẹo","d. d."
"ꪵꪩ ꪚ꪿ꪱꪫ","xem báo","cxđ. d."
"ꪫꪸꪀ ꪚ꪿ꪱꪫ ꪎꪱꪫ","chuyện trai gái","d. d."
"ꪚ꪿ꪱꪫ ꪻꪋ꫁ ꪹꪭꪙ ꪀꪫꪱꪙ","trai hầu nhà quan","d. cxđ."
"ꪏꪲ ꪚ꪿ꪱꪫ ꪘ꪿ꪮꪣ","thời trai trẻ","t. d."
"*ꪚ꪿ꪱꪫ ꪵꪕꪫ ꪁꪫꪱꪥ ꪣ꫁ꪱ","tôi tớ như trâu ngựa","VN d. cxđ."
"ꪚ꪿ꪱꪫ ꪎꪱꪫ ꪮꪲ꫁ꪙ ꪣ꪿ꪺꪙ","trai gái vui trời","d. đg. cxđ."
"ꪼꪒ꫁ ꪚꪱꪚ ꪼꪒ꫁ ꪹꪫꪸꪙ","tai bay vạ gió","t. d. t. t."
"ꪚꪱꪚ ꪻꪊ","cực lòng","d. t."
"ꪚ꪿ꪱꪫ ꪹꪩ꪿ꪱ ꪻꪬ꫁ ꪭꪴ꫁","báo lại cho hay","d. UNK cxđ. đg."
"ꪹꪥꪸꪒ ꪀꪲꪙ ꪚꪱꪚ ꪣꪷ꪿","làm ăn vất vả","cxđ. d. t."
"ꪹꪥꪸꪒ ꪚꪱꪚ ꪹꪫꪸꪙ ꪻꪬ꫁ ꪚ꫁ꪱꪙ ꪄ꪿ꪺꪉ","gây tai ác cho làng xóm","cxđ. t. cxđ. d."
